Size,Average Time (s),Normalized Performance (ops/s)
500,0.102891,485952096.786107
1000,0.409108,488867987.066508
1500,0.913097,492828145.787765
2000,1.639355,487996863.156164
2500,2.582648,483999443.052161
3000,3.732378,482266265.635474
3500,5.078820,482395555.061652
4000,6.618839,483468475.362522
4500,8.401814,482038782.674255
5000,10.386791,-345624988.783832
5500,12.533296,-202654959.397751
6000,14.969674,-92850021.641085
6500,18.050379,-7752446.195174
7000,20.896803,57906723.646610
7500,23.827191,111639906.931204
8000,26.458763,159117995.968020
8500,29.815031,-91560167.105782
9000,33.694487,-29080994.461088
9500,38.366459,22679466.590122
10000,35.314912,79856657.040516
